Name,Value,Reference
Electrode Area [m^2],0.10465,Chen et al
Electrode Thickness [m],85.2e-6,Chen et al
Ionic Conductivity [S m^-1],215,Chen et al
Volume Fraction,0.25,Chen et al
Electroactive Area [m^2],"",
Max. Conc. [mol m^-3],29583,Chen et al
Radius [m],5.68e-6,Chen et al
Reference Rate Constant [m^2.5 mol^-0.5 s^-1],6.715930643506379e-12,Chen et al
Reference Diffusitivity [m^2 s^-1],1.74E-15,Chen et al
Activation Energy of Reaction [J mol^-1],35.0E03,Chen et al
Activation Energy of Diffusion [J mol^-1],3.50E+04,Guo et al.
Anodic Transfer Coefficient,0.5,
Reference Temperature [K],298.15,Chen et al
Bruggerman Coefficient,2.92,Chen et al
SEI Reference Overpotential [V],0.4,Randall LOOK
SEI Exchange Current Density [A m^-1],1.50E-06,Randell et al.
SEI Molar Weight [kg mol^-1],0.16,Yin et al.
SEI Density [kg m^-3],1600,Yin et al.
SEI Conductivity [S m^-1],5.00E-06,Yin et al.
soc_min,0.0279,Chen et al
soc_max,0.9014,Chen et al
